""," ","추가 설명 및 의견","작성자","변경 이력","","","","","","","","","","","","","","","","","","","","",""
"hierarchy","계층 구조","https://www.microsoft.com/en-us/language/Search?&searchTerm=hierarchy&langID=457&Source=true&productid=0","","","","","","","","","","","","","","","","","","","","","","",""
"higher order component","고차 컴포넌트","","","","","","","","","","","","","","","","","","","","","","","",""
"hoisting","호이스팅","https://developer.mozilla.org/ko/docs/Glossary/Hoisting","Chris","","","","","","","","","","","","","","","","","","","","","",""
"Hook","Hook","번역 안함 / 훅으로 읽음","","","","","","","","","","","","","","","","","","","","","","",""
"Horizontal Ellipsis","생략 부호","","","","","","","","","","","","","","","","","","","","","","","",""
"host","호스트","","","","","","","","","","","","","","","","","","","","","","","",""
"HTML","HTML","번역안함","","","","","","","","","","","","","","","","","","","","","","",""
"HTML attribute","HTML 속성","","","","","","","","","","","","","","","","","","","","","","","",""
"HTTP authentication","HTTP 인증","","","","","","","","","","","","","","","","","","","","","","","",""
"hyphens ","하이픈","","","","","","","","","","","","","","","","","","","","","","","",""
"identifier","식별자","","","","","","","","","","","","","","","","","","","","","","","",""
"Identity / strict equality","일치 연산자","===","","","","","","","","","","","","","","","","","","","","","","",""
"IIFE","즉시 실행 함수 표현식","Immediately Invoked Function Expressions의 줄임말","Chris","기존 번역안함에서 즉시 실행 함수 표현식으로 번역하기로 합의하였습니다.","","","","","","","","","","","","","","","","","","","","",""
"import","가져오기","모듈관련 article에서 동사로 쓰이는 경우, 가져오다를 원형으로 해석","","","","","","","","","","","","","","","","","","","","","","",""
"imprinted","각인","","Chris","","","","","","","","","","","","","","","","","","","","","",""
"indent","들여쓰기","","","","","","","","","","","","","","","","","","","","","","","",""
